decade,medium,n_works
1890,film,49
1900,film,307
1910,film,2207
1920,film,3688
1930,film,5285
1940,film,5084
1950,film,6020
1960,film,5779
1970,film,6161
1980,film,7331
1990,film,8660
2000,film,14291
2010,film,19470
2020,film,9669
1890,book,347
1900,book,400
1910,book,418
1920,book,608
1930,book,924
1940,book,930
1950,book,1334
1960,book,1343
1970,book,1604
1980,book,2154
1990,book,2788
2000,book,4240
2010,book,2981
2020,book,1044
1890,tv,0
1900,tv,0
1910,tv,0
1920,tv,0
1930,tv,0
1940,tv,0
1950,tv,212
1960,tv,365
1970,tv,780
1980,tv,1060
1990,tv,1362
2000,tv,2287
2010,tv,7249
2020,tv,18880
