,delta_dark_1930s_1970s,pct_at_ceiling_90plus_1970s,n_1970s
Action,14.0,1.477832512315271,2030.0
Adventure,13.4,0.15120967741935484,1984.0
Animation,20.2,0.8875739644970414,338.0
Comedy,10.7,0.0,1386.0
Crime,14.9,3.1189083820662766,3078.0
Documentary,10.5,2.3529411764705883,340.0
Drama,14.4,1.9151036525172755,5065.0
Family,17.6,0.11580775911986102,1727.0
Fantasy,25.5,0.37174721189591076,807.0
Historical,10.7,2.5150355385456535,1829.0
Horror,3.1,8.932461873638346,918.0
Musical,19.0,0.0,468.0
Mystery,15.6,1.7543859649122806,1596.0
Romance,15.0,0.16844469399213924,1781.0
Science_Fiction,16.5,1.1389521640091116,439.0
Thriller,13.1,3.3286118980169968,2824.0
War,9.5,3.864734299516908,828.0
Western,13.5,0.0,274.0
