,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Horror,79.48,78.03398058252426,77.22641509433963,81.03883495145631,82.5925925925926,80.31723484848484,80.45360824742268,81.39399806389157,80.66666666666667,80.78594249201278
Thriller,62.59786476868327,65.34519383961764,69.40891880521666,71.97256958450988,75.72237960339943,74.94373479318735,74.34956105347167,75.9703196347032,75.67652495378928,75.94365551992671
War,64.4098712446352,60.41057367829021,65.87929240374609,71.36141038197846,73.91908212560386,72.7191943127962,73.56347438752783,75.32565789473684,74.02116402116403,76.01611459265891
Mystery,58.15261044176707,61.87077131258457,66.37952956134774,69.01422107304461,73.765664160401,73.33800448430493,73.09167912306926,74.53600702576112,74.72703725841801,74.98625901751976
Crime,57.10843373493976,59.821755027422306,65.07246376811594,68.25913242009132,71.96718648473035,70.8395355760643,69.90789473684211,71.38960591980727,71.48962547305233,73.3298755186722
Historical,57.331368696791095,55.93859211183225,59.87277353689567,65.87719298245614,68.01257517769272,68.16189896530736,67.44991413852318,68.2140179910045,66.5042372881356,67.50124069478908
Action,53.19805194805195,55.017361111111114,61.33933033483258,63.20506062203479,67.20689655172414,66.87017001545595,66.15728476821192,66.9156566905763,66.19608870263663,69.74525650035137
Drama,52.22573007103394,54.54485661667982,59.0935490562124,63.49109856708641,66.6409952606635,64.59176491289811,62.72527316588619,61.82282282282282,60.92232710222716,61.40044273564022
Documentary,54.26229508196721,54.343629343629345,55.28,61.651982378854626,64.73529411764706,65.03389830508475,65.23097826086956,61.379492600422836,59.94588093806374,60.918570009930484
Western,46.1566265060241,46.07675906183369,58.93043478260869,62.99426934097421,59.67032967032967,60.54794520547945,61.97530864197531,63.45238095238095,70.6015037593985,68.21428571428571
Science_Fiction,46.58536585365854,47.4822695035461,55.076219512195124,54.03800475059382,63.13211845102506,58.46456692913386,59.203592814371255,61.4390756302521,62.18194574368569,63.08457711442786
Adventure,43.92054794520548,45.68132464712269,51.84326710816777,54.4172760511883,57.33366935483871,55.96356453028973,54.58400646203554,54.22799222438211,55.0633883980023,58.539305301645335
Fantasy,33.90625,39.961977186311785,43.099236641221374,52.12258064516129,59.37422552664189,54.53982300884956,54.27353896103896,56.41780155642024,55.97212420606916,58.19074778200253
Romance,42.67584097859327,44.56017269293039,49.571948998178506,51.49127445795875,57.667040988208875,54.86692844677138,51.93975903614458,48.933474128827875,46.68858869534305,46.0021186440678
Family,34.57946210268948,36.016427104722794,40.87841072283389,46.82512733446519,52.139548349739435,52.2855464159812,48.41633158057532,46.17216841272979,45.23739956172388,47.973316391359596
Musical,25.88209219858156,27.979683972911964,34.67130214917825,37.73246329526917,44.861111111111114,46.63651315789474,42.58569299552906,38.2139577594123,35.672698662470495,38.04023845007452
Animation,21.32564841498559,22.47779751332149,24.47519083969466,34.02810304449649,41.50887573964497,42.098501070663815,41.42617449664429,42.52348420153715,42.62455516014235,45.69055036344756
Comedy,23.158628935831008,22.733739837398375,22.656605922551254,27.378548895899055,33.85642135642136,33.419740777667,34.50151630022744,32.278451492537314,32.030270463908295,34.73829201101928
