,dec,occupied_cells,effective_cells,n_decade
film,1930,84.61,65.71248065546207,5285
film,1940,90.06,71.3107414684302,5084
film,1950,96.53,75.86336960246344,6020
film,1960,100.705,79.79932305978214,5779
film,1970,97.285,76.20345505247434,6161
film,1980,99.33,77.50659538066179,7331
film,1990,100.1,79.21812661610993,8660
film,2000,101.355,81.69296283077858,14291
film,2010,100.065,79.92593432167004,19470
film,2020,92.87,72.79894501837019,9669
book,1930,91.55,70.32174446820889,924
book,1940,97.53,76.33563604185743,930
book,1950,97.025,76.0626325686018,1334
book,1960,96.225,75.61864024023487,1343
book,1970,96.62,75.56247613905515,1604
book,1980,94.355,72.05339895571795,2154
book,1990,91.915,69.3533665816531,2788
book,2000,92.475,70.29200539939235,4240
book,2010,91.385,69.00079199880051,2981
book,2020,87.99,66.87845487841125,1044
tv,1950,68.175,57.28876923334743,212
tv,1960,79.99,66.98884242800678,365
tv,1970,84.275,71.69881840767385,780
tv,1980,80.79,68.01987484529343,1060
tv,1990,81.525,68.42344430850316,1362
tv,2000,77.925,64.61717035665066,2287
tv,2010,75.68,62.0829707742069,7249
tv,2020,78.655,63.919330674521945,18880
