medium,genre,shape,peak_decade,mean_first_dec,mean_2010s,delta_first_to_2010s,pct_change,mean_2020s
film,Action,revival,1980,30.09,33.92,3.82,12.7,34.35
film,Adventure,decline,1950,39.36,33.55,-5.81,-14.8,34.89
film,Animation,decline,1930,12.83,8.9,-3.93,-30.6,10.26
film,Comedy,decline,1930,45.67,30.93,-14.74,-32.3,29.48
film,Crime,hump,1970,39.17,39.5,0.33,0.8,39.71
film,Documentary,rise,2010,6.61,13.17,6.56,99.2,15.96
film,Drama,rise,2010,63.6,72.18,8.58,13.5,75.95
film,Family,decline,1930,42.22,38.27,-3.95,-9.4,42.38
film,Fantasy,revival,1980,15.53,17.39,1.86,12.0,19.1
film,Historical,decline,1940,32.66,22.84,-9.82,-30.1,24.36
film,Horror,rise,1970,7.73,18.85,11.11,143.7,20.18
film,Musical,decline,1930,25.52,12.35,-13.17,-51.6,13.09
film,Mystery,rise,1940,28.97,30.73,1.76,6.1,33.85
film,Romance,decline,1930,41.22,31.88,-9.34,-22.7,28.99
film,Sci-Fi,rise,2010,6.11,14.23,8.12,133.0,16.23
film,Thriller,hump,1970,35.64,42.86,7.22,20.3,45.29
film,War,hump,1960,10.94,13.21,2.27,20.7,13.77
film,Western,decline,1950,8.61,1.66,-6.95,-80.8,1.73
book,Action,rise,2000,29.6,40.77,11.17,37.7,38.96
book,Adventure,rise,1980,43.09,52.49,9.4,21.8,51.97
book,Animation,revival,2000,6.02,8.51,2.49,41.4,9.87
book,Comedy,decline,1940,20.55,18.43,-2.12,-10.3,18.86
book,Crime,decline,1930,45.52,40.69,-4.83,-10.6,37.33
book,Documentary,flat,1940,5.97,5.93,-0.04,-0.6,7.31
book,Drama,rise,2010,71.52,74.3,2.79,3.9,78.86
book,Family,rise,2000,31.1,37.44,6.34,20.4,40.55
book,Fantasy,rise,1980,20.75,33.24,12.49,60.2,36.84
book,Historical,decline,1930,44.38,30.62,-13.76,-31.0,30.31
book,Horror,revival,2010,16.84,20.18,3.34,19.9,22.32
book,Musical,flat,1940,2.94,2.69,-0.26,-8.8,3.43
book,Mystery,flat,1930,45.74,45.19,-0.55,-1.2,44.84
book,Romance,revival,2000,23.76,24.75,0.99,4.2,26.2
book,Sci-Fi,rise,1980,17.32,36.02,18.7,108.0,39.79
book,Thriller,revival,2010,50.72,54.28,3.56,7.0,52.93
book,War,rise,1980,17.52,26.81,9.29,53.0,24.82
book,Western,decline,1960,2.85,1.77,-1.09,-38.1,1.69
tv,Action,decline,1950,34.5,28.92,-5.59,-16.2,36.09
tv,Adventure,decline,1960,40.94,35.71,-5.23,-12.8,40.18
tv,Animation,hump,1980,6.42,12.48,6.07,94.6,16.32
tv,Comedy,rise,1960,31.46,34.24,2.78,8.8,37.67
tv,Crime,decline,1950,34.69,32.75,-1.95,-5.6,38.61
tv,Documentary,decline,1950,14.32,9.48,-4.84,-33.8,8.53
tv,Drama,rise,2010,59.39,71.67,12.28,20.7,68.94
tv,Family,rise,1980,37.78,46.04,8.26,21.8,39.04
tv,Fantasy,hump,1990,13.8,20.01,6.21,45.0,24.51
tv,Historical,decline,1950,37.36,21.5,-15.86,-42.4,16.5
tv,Horror,rise,1970,7.22,12.04,4.82,66.8,19.02
tv,Musical,hump,1970,12.19,10.45,-1.75,-14.3,9.59
tv,Mystery,rise,2010,30.31,33.54,3.24,10.7,40.41
tv,Romance,rise,2000,21.77,38.25,16.49,75.7,27.99
tv,Sci-Fi,rise,1960,9.08,14.56,5.48,60.3,24.57
tv,Thriller,rise,1990,32.5,39.94,7.44,22.9,46.5
tv,War,hump,1990,11.49,11.33,-0.15,-1.3,15.42
tv,Western,decline,1950,18.56,1.3,-17.26,-93.0,2.49
