genre,rho_rating,rho_reach,n,reach_minus_rating
Action,-0.212,0.047,22385,0.259
Sci-Fi,-0.205,0.028,22386,0.233
Fantasy,-0.195,-0.022,22385,0.174
Adventure,-0.143,0.015,22386,0.159
Horror,-0.185,-0.083,22385,0.102
Comedy,-0.042,0.049,22385,0.091
Animation,-0.059,0.015,22386,0.073
Thriller,-0.098,-0.048,22384,0.051
Mystery,-0.105,-0.06,22386,0.045
Western,-0.044,-0.021,22387,0.023
War,0.023,0.035,22385,0.012
Crime,-0.026,-0.036,22386,-0.01
Romance,0.066,0.021,22384,-0.045
Family,0.055,-0.002,22387,-0.057
Musical,0.024,-0.046,22387,-0.07
Historical,0.219,-0.047,22386,-0.267
Documentary,0.176,-0.166,22386,-0.342
Drama,0.395,-0.058,22385,-0.453
